sequence;experience;notation;time
1;advanced;nl;13:02
1;advanced;nl;09:12
1;advanced;nl;06:50
1;advanced;nl;07:00
1;advanced;nl;12:00
1;advanced;nl;12:45
1;advanced;kv;10:17
1;advanced;kv;05:33
1;advanced;kv;08:47
1;advanced;kv;10:00
1;advanced;kv;08:24
1;advanced;kv;10:22
2;advanced;nl;14:35
2;advanced;nl;13:45
2;advanced;nl;14:51
2;advanced;nl;14:00
2;advanced;nl;08:55
2;advanced;nl;09:00
2;advanced;kv;10:15
2;advanced;kv;10:20
2;advanced;kv;11:23
2;advanced;kv;08:12
2;advanced;kv;12:35
2;advanced;kv;14:00
1;novice;nl;06:12
1;novice;nl;07:55
1;novice;nl;09:34
1;novice;nl;14:00
1;novice;nl;10:23
1;novice;nl;08:55
1;novice;kv;13:12
1;novice;kv;14:00
1;novice;kv;12:55
1;novice;kv;11:24
1;novice;kv;12:21
1;novice;kv;12:45
2;novice;nl;10:12
2;novice;nl;11:20
2;novice;nl;08:33
2;novice;nl;07:26
2;novice;nl;13:45
2;novice;nl;15:00
2;novice;kv;13:45
2;novice;kv;12:55
2;novice;kv;11:23
2;novice;kv;10:21
2;novice;kv;11:32
2;novice;kv;14:35
