id;sequence;experience;notation;time;sus;accuracy;rank
1;1;advanced;nl;13:02;65;80;1st place
2;1;advanced;nl;09:12;45;80;1st place
3;1;advanced;nl;06:50;47,5;80;1st place
4;1;advanced;nl;07:00;80;100;1st place
5;1;advanced;nl;12:00;45;50;2nd place
6;1;advanced;nl;12:45;87,5;20;don't know
1;1;advanced;kv;10:17;65;100;2nd place
2;1;advanced;kv;05:33;35;100;2nd place
3;1;advanced;kv;08:47;50;100;2nd place
4;1;advanced;kv;10:00;77,5;80;2nd place
5;1;advanced;kv;08:24;82,5;100;2nd place
6;1;advanced;kv;10:22;85;90;2nd place
7;2;advanced;nl;14:35;35;20;1st place
8;2;advanced;nl;13:45;35;30;1st place
9;2;advanced;nl;14:51;35;60;don't know
10;2;advanced;nl;14:00;57,5;50;1st place
11;2;advanced;nl;08:55;62,5;100;2nd place
12;2;advanced;nl;09:00;50;100;1st place
7;2;advanced;kv;10:15;77,5;100;2nd place
8;2;advanced;kv;10:20;57,5;100;1st place
9;2;advanced;kv;11:23;25;100;1st place
10;2;advanced;kv;08:12;72,5;90;1st place
11;2;advanced;kv;12:35;57,5;80;2nd place
12;2;advanced;kv;14:00;47,5;100;don't know
13;1;novice;nl;06:12;27,5;100;1st place
14;1;novice;nl;07:55;47,5;100;1st place
15;1;novice;nl;09:34;45;100;1st place
16;1;novice;nl;14:00;62,5;90;2nd place
17;1;novice;nl;10:23;42,5;100;1st place
18;1;novice;nl;08:55;50;80;1st place
13;1;novice;kv;13:12;60;60;2nd place
14;1;novice;kv;14:00;72,5;60;2nd place
15;1;novice;kv;12:55;80;60;2nd place
16;1;novice;kv;11:24;50;50;1st place
17;1;novice;kv;12:21;60;70;1st place
18;1;novice;kv;12:45;50;100;don't know
19;2;novice;nl;10:12;62,5;100;1st place
20;2;novice;nl;11:20;72,5;100;1st place
21;2;novice;nl;08:33;70;80;1st place
22;2;novice;nl;07:26;85;90;don't know
23;2;novice;nl;13:45;67,5;100;1st place
24;2;novice;nl;15:00;75;100;2nd place
19;2;novice;kv;13:45;62,5;90;2nd place
20;2;novice;kv;12:55;55;50;2nd place
21;2;novice;kv;11:23;77,5;40;don't know
22;2;novice;kv;10:21;42,5;60;2nd place
23;2;novice;kv;11:32;70;50;1st place
24;2;novice;kv;14:35;77,5;100;2nd place
