Participant;Question;Answer;Notion
1;PQ1. I think that I would like to use this notation frequently.;4;positive
2;PQ1. I think that I would like to use this notation frequently.;5;positive
3;PQ1. I think that I would like to use this notation frequently.;3;positive
1;NQ1. I find the notation unnecessarily complex.;1;negative
2;NQ1. I find the notation unnecessarily complex.;1;negative
3;NQ1. I find the notation unnecessarily complex.;4;negative
1;PQ2. I think the notation would be easy to use.;5;positive
2;PQ2. I think the notation would be easy to use.;5;positive
3;PQ2. I think the notation would be easy to use.;3;positive
1;NQ2. I think that I would need the support of a technical person*** to be able to use this notation.;1;negative
2;NQ2. I think that I would need the support of a technical person*** to be able to use this notation.;1;negative
3;NQ2. I think that I would need the support of a technical person*** to be able to use this notation.;1;negative
1;PQ3. I find the various functions* in this notation are well integrated.;5;positive
2;PQ3. I find the various functions* in this notation are well integrated.;5;positive
3;PQ3. I find the various functions* in this notation are well integrated.;3;positive
1;NQ3. I think there is too much inconsistency** in this notation.;1;negative
2;NQ3. I think there is too much inconsistency** in this notation.;1;negative
3;NQ3. I think there is too much inconsistency** in this notation.;3;negative
1;PQ4. I would imagine that most people would learn to use this notation very quickly.;5;positive
2;PQ4. I would imagine that most people would learn to use this notation very quickly.;3;positive
3;PQ4. I would imagine that most people would learn to use this notation very quickly.;2;positive
1;NQ4. I would find the notation very cumbersome to use.;1;negative
2;NQ4. I would find the notation very cumbersome to use.;1;negative
3;NQ4. I would find the notation very cumbersome to use.;4;negative
1;PQ5. I would feel very confident using the notation.;5;positive
2;PQ5. I would feel very confident using the notation.;5;positive
3;PQ5. I would feel very confident using the notation.;3;positive
1;NQ5. I would need to learn a lot of things before I could get going with this notation.;1;negative
2;NQ5. I would need to learn a lot of things before I could get going with this notation.;1;negative
3;NQ5. I would need to learn a lot of things before I could get going with this notation.;3;negative
